name,discord_username,github_id,discourse_id,sourcecred_id,address,discord_id,totalGrainPaid,totalCred
Marc-discourse,,,Marc,ixR4pc1Q4TZrZRVOAfR2Dw,,,0.0,0.6656639864967492
Mateo-Daza,mateodaza#3156,,mateodaza,SW3QLzfLRvQkXcmy4MxMNg,0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,692168538181599232,101.82524012804832,111.54184742228016
MaxK-discourse,,,MaxK,BtlReOsdMixKt3NyYpxY8g,,,0.0,8.257044586862431
Maxwe11-discourse,,,,mcVV5intjiL3DdvVYwj1Rw,,,,1.704011091161811
Merlin,,,Merlin,Sw52DwDVtQQ7N7ZrEfaA2Q,,,0.0,5.752963034309478
Mertozdal-github,,,,AV6GhQrNewcyzzoo7emoDg,,,,3.6069981062722274
Mettodo-github,,,,vm7Iy7DrNFxKDmPTPeyMbg,,,,1.345371296401451
Michael-A-Heuer,,Michael-A-Heuer,,4Y7IDsQAfyD6ra7l4J2qyw,,,0.0,1.368528571373599
MoatazAR,,,,C1OvLwcD8YpQoDzJtDnfJA,,,,4.794587528660105
Monstrosity-discourse,,,Monstrosity,QooKidh903FG3z7r4Ww1UA,,,0.0,18.72386362624552
Mount-Manu-discourse,,,Mount_Manu,54pPzfgbn7NVRx9sET7wlw,,,0.0,140.9678469809761
MrMadila,,,,eZH5b13ToWtzr1z7URwB6w,,,,22.17798357749925
MrsBadgerface,,,MrsBadgerface,8CYWWHWr2szCJPfLpIYA4w,,,0.0,63.4201009777564
MrsBadgerface-github,,MrsBadgerface,,u6jl5EaAQvBzzwuKlUMT2A,,,0.0,14.812509026652831
Nuggan,,,,r0vZG1IXLmoVZ49GgHKJ8Q,,,,559.3248086557637
PJColombo,,PJColombo,,qg032DF3AY9rtOCPMxxPzw,,,27.27486762158264,113.98488466405342
PabloCGL,,PabloCGL,,pUQivmb1dZ2xf0cZrB2zDg,,,0.0,0.01
PatriciaTEA,,,,bqiO0g0K4K1N75xP1oNdsw,,,,0.3595588409560071
Paula,,,Paula,S2Rpx2XtaTbvUad3dF2qkg,,,0.0,8.221151279723994
Phil,,,Phil,hb2p3ewa4JpNpG88w4MABQ,,,29.684310635838017,12.624155099247142
PhilH-github,,,,gowzr68aUjqB65WC88A2vQ,,,,4.852537818067982
Radical-Sociologist,,,,T6q3S0GwTaac3Dj8udAsRw,,,,0.5911623897938174
Ratio,,,,p1eB0y09Z5azqwIwdhVwFg,,,,2.1175658884281634
Raul-discourse,,,Raul,anhbNeEVgF60qvwFW1tDNw,,,0.0,3.189277645224588
Razga,,,,nmjdTpm5CgrhKOD9P7SB1w,,,,2.929046633429304
Rohekbenitez,,,,eZndrvVZnOaikpxqPXKFJA,,,,0.5963036904502729
RubenR,Ruben Russel#6434,,RubenR,UrpKI7eUEAnBktlQDlHElA,,499196313473122313,10.658509110515531,2.512080265879731
SHBrennan,,,,d7ANp4Q9SvRY0CrtwsLoLQ,,,,4.612153344605758
SatoriD,,,,lJjrpwotn2qbOqwPV65kdQ,,,,2.78697892974006
Seb-EthMonk,,,,XpDy0ujeZQU9zFwAxq5B0A,,,,1.1525861667847852
Shermin-discourse,,,Shermin,QVLQ8TObC1WI4gTjLnELOQ,,,0.0,12.020513007976769
SourceCred,,,,1ESoqJnD8rY0dKKnQ8frtw,,,0.0,944.2210765039114
Suga,Suga#8514,danelsuga,Suga,ReYHrv8KxmqyJmOF038YOw,0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,786574925951008788,93.0368491291066,53.52692218741602
Tam2140,Tam2140#9361,tamarandom,Tamara,Pr99oqKVAcabvan7J6PHgw,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,751417874886688798,0.0,0.01
Tamara,Tam2140#9361,tamarandom,Tamara,BOpBtopaQXL8lQeTmted3A,0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,751417874886688798,2763.0759571585672,1495.4504252652046
TangBaiFeng,,,,n2ZY2ZDePOvHV6q36tlF5w,,,,30.933050267651133
Tannr,,,Tannr,Gm69GgxjGEwe9MAS2sNobQ,,,132.4575178828873,29.281335840292645
Taz-discourse,,,,4SZC6GH5XRO4ZdtRAAbbxQ,,,,6.221797887875892
TeamYonks,,,,TdpPQYVvMwW3Px0DR8Eglw,,,,1.786174822892688
TiberiusB,,,,xVC1TAs2gNM4Rv0PGmOzrA,,,,0.6816067615450452
Tonga,Tonga#3112,,Tonga,TzIeoV93DiaIbB0N96YseQ,,392867630891139093,381.6420434167882,108.5233307971637
Tuath,,,,VX0ywzfe3y0UvZhJBtgVrA,,,,3.016333740212311
TylerBoardroom,,,,xhOcQzwGWNJRrarQuPLglQ,,,,109.94071983410542
UncleBimBim,,,,w7LoKq4r1JddMUqq3IjxBQ,,,,0.6454361596063589
Vyvy-vi,,Vyvy-vi,Vyvy-vi,7iQuAWGd9k837zm3NTRavg,,,386.7632069895543,595.0939278791412
ZER8,,,ZER8,U9h9X9KrZn4iyjT3mqDX7w,,,0.0,10.272888923490036
ZarMarquez,,,,pZLLf5rLrNQ5YYJnZdCqpA,,,,9.196157218985974
ZarMarquez-github,,,,oRJGzXbvrEw94PaqOLrEuA,,,,3.5864447711334675
Zeptimus,Zeptimus#3359,Zeptimus,ZeptimusQ,GZcrLnnCM7qtee2QxoMF9g,0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,183879548394274816,869.9580598310606,769.2286165807055
Zion-code,,,,mziEWEdu6aJUlfGbafdTRQ,,,,1.5539023636649567
a-jwc,,,,pXjFYBYcR6CB4Rv8uVUmRw,,,,1.1525861667847852
aanunez,,,,gUgLJFb2fAqkllKVTGnwPA,,,,2.305172333519938
acidlazzer,acidlazzer#5796,acidlazzer,acidlazzer,fkXSL37MUORONdyIp2K9eQ,0x8aA27E90E139d5AB5704df69429341cbCb2d2464,587095069115285524,0.0,26.280680051954025
acidlazzer-github,,,,rd6qGYHvn81xReTMs1Od2w,,,,23.25011119184548
akrtws-discourse,,,,59i8fD5Sk3nFVVtJhRyUQg,,,,87.37373511526839
andrewpenland,,,,mQEJ7vXKA6xIJHex7JEXlA,,,,17.300603543624955
andy-hook,,andy-hook,,xTzOQxkyqntbQIw0994PVg,,,0.0,1.6670294640726733
anthonyoliai,,anthonyoliai,,hR43q3TZ1ZCjpb1V83pNLg,,,13.935376893415562,31.19590426602613
ataberkcasur,,ataberkcasur,,OZvwaGjg1BC9pTY4pYKtmg,,,0.0,1.7539942255181171
baartch,,baartch,,BdBzrNptWPySKNGKR8vETA,,,0.0,3.2333777270796142
bear100-discourse,,,,5papbuqIE9rXmXJRWtqlKA,,,,12.54527757010973
bearhub100,,,,e6SRu4KNeS0L5x309c4k1w,,,,3.2996834427039152
befitsandpiper,,,,eSBp50UesxjU4iORayGpoA,,,,3.4577585003047373
bends,,,,jRg49FB3TkQOvOdAndKANg,,,,27.44277970638991
bhargavkakadiya,,,,lDKKaAJOWjnrnnZFwu3fLQ,,,,8.068103167195702
blazingthirdeye,,,blazingthirdeye,HLXHQgFzO8IEKx8D4z2gNA,,,0.0,71.90459076828354
bpierre,,bpierre,,IoMDRoeXb8ILvNvjY60bxQ,,,0.0,3.7816074124978094
brandoniles,,,,ClLmX80W6AZgAOzN9wHQQw,,,,1.1525861667847852
brymut,,,,VElomZar6G1VnD385a9s0w,,,,3.457758500255089
bustavo,,,,b0aT4FvCrYrRA1Ur82XuOA,,,,1.7595334136479623
bustavo-discourse,,,,hnd15OIzLZtOfGGDtDAsjQ,,,,12.618389594888685
bvalosek,,,,0BQ9mpVAeTROp3DCjU31Wg,,,,2.305172333519938
c0mput3rxz,,,,l9GMm1QHVzPsLtdDKRgWPA,,,,1.7910456871795413
catall,,,catall,dckiOvUb2L6xNMAAjBVjAw,,,0.0,3.112929337138776
cedrickxyz,,,,7dZXOSG4Twyl7qC2asN5og,,,,3.457758500255089
chuygarcia92,chuygarcia.eth#6692,chuygarcia92,chuygarcia92,ZWNbgl1noFkSqr37CyhGow,0xB22981bA3FE1De2325935c91a3B717168fB86714,727934296387616848,220.2397680755041,323.192869522649
clara-zi,,,,uEbA6ki86xGNLCPJXOBmSg,,,,3.2539612140646383
cleanapp,,,,jiynGSlCjvf4pQmZPo9vRw,,,,3.535318057613196
cranders1,AmwFund#0979,cranders1,cranders1,2xX69XcgLBvkq5ZwV2y7rw,0x536c7E8F18D09d04697E0d2624b44bBA575388c2,655144629481635841,241.12649507476544,74.16421694557205
credbot,,,,M7Ta1uVgniBzK3PDxB9WHg,,,,13.831034000921152
crisog,,,,6vWueYzqtrbQnDrYqxJy7Q,,,,94.53340338916176
csggene3,,,,N59AgyPg71UQ3tZ76AhMEw,,,,2.2066356063547263
dRAT3,,,dRAT3,lcmC50dWg7NNRjg457E83Q,,,0.0,9.107349976047656
daithi,daithi#9055,daithi-coombes,daithi,XVC5wlG8vSjV5ZS3OR9MXg,,439383515944058881,71.78555039960503,27.57397597953154
danelsuga,Suga#8514,danelsuga,Suga,UYJ01LogpK0L6kwBjJKmkA,0x2fEe53687906bA239602eD42CCEee2aC8A4ADa36,786574925951008788,131.8020330145612,104.91270468635769
danielo-discourse,,,,NU4GMvnXCeLgewMmbwlElA,,,,1.166352808626779
danlessa-discourse,,,,T2Jo7SYVv5iQwie7VocR5Q,,,,4.204889205391103
ddan,,ddan4,ddan,uLxpHZxGaW9BGmSdWYgRaA,,,62.24535863197665,116.15196533462958
dekanbro,,,,21E2MC3uZjqSjq6OBGrmmQ,,,,1.6870639557544571
dependabot,,dependabot,,W2SwpmJSBgjTjqAkfBuXIA,,,0.0,7.53220101305192
divine-comedian,divine_comedian#5493,divine-comedian,divine_comedian,Hakw7z8Zrf2vnbpz1FPfrg,0x320c338BCF70bAAaE26e96201C33B48105Bc62C2,288019500132073472,446.0509051924591,802.9571814019862
donKarabi,,,,P5PYKfqK22b9oV3PIkojAA,,,,1.6750384379902752
