name,totalCred,Sat Jul 16 2022,Sat Jul 09 2022,Sat Jul 02 2022,Sat Jun 25 2022,Sat Jun 18 2022,Sat Jun 11 2022,Sat Jun 04 2022,Sat May 28 2022,Sat May 21 2022,Sat May 14 2022,Sat May 07 2022,Sat Apr 30 2022,Sat Apr 23 2022,Sat Apr 16 2022,Sat Apr 09 2022,Sat Apr 02 2022,Sat Mar 26 2022,Sat Mar 19 2022,Sat Mar 12 2022,Sat Mar 05 2022,Sat Feb 26 2022,Sat Feb 19 2022,Sat Feb 12 2022,Sat Feb 05 2022,Sat Jan 29 2022,Sat Jan 22 2022,Sat Jan 15 2022,Sat Jan 08 2022,Sat Jan 01 2022,Sat Dec 25 2021,Sat Dec 18 2021,Sat Dec 11 2021,Sat Dec 04 2021,Sat Nov 27 2021,Sat Nov 20 2021,Sat Nov 13 2021,Sat Nov 06 2021,Sat Oct 30 2021,Sat Oct 23 2021,Sat Oct 16 2021,Sat Oct 09 2021,Sat Oct 02 2021,Sat Sep 25 2021,Sat Sep 18 2021,Sat Sep 11 2021,Sat Sep 04 2021,Sat Aug 28 2021,Sat Aug 21 2021,Sat Aug 14 2021,Sat Aug 07 2021,Sat Jul 31 2021,Sat Jul 24 2021,Sat Jul 17 2021,Sat Jul 10 2021,Sat Jul 03 2021,Sat Jun 26 2021,Sat Jun 19 2021,Sat Jun 12 2021,Sat Jun 05 2021,Sat May 29 2021,Sat May 22 2021,Sat May 15 2021,Sat May 08 2021,Sat May 01 2021,Sat Apr 24 2021,Sat Apr 17 2021,Sat Apr 10 2021,Sat Apr 03 2021,Sat Mar 27 2021,Sat Mar 20 2021,Sat Mar 13 2021,Sat Mar 06 2021,Sat Feb 27 2021,Sat Feb 20 2021,Sat Feb 13 2021,Sat Feb 06 2021,Sat Jan 30 2021,Sat Jan 23 2021,Sat Jan 16 2021,Sat Jan 09 2021,Sat Jan 02 2021,Sat Dec 26 2020,Sat Dec 19 2020,Sat Dec 12 2020,Sat Dec 05 2020,Sat Nov 28 2020,Sat Nov 21 2020,Sat Nov 14 2020,Sat Nov 07 2020,Sat Oct 31 2020,Sat Oct 24 2020,Sat Oct 17 2020,Sat Oct 10 2020,Sat Oct 03 2020,Sat Sep 26 2020,Sat Sep 19 2020,Sat Sep 12 2020,Sat Sep 05 2020,Sat Aug 29 2020,Sat Aug 22 2020,Sat Aug 15 2020,Sat Aug 08 2020,Sat Aug 01 2020,Sat Jul 25 2020,Sat Jul 18 2020,Sat Jul 11 2020,Sat Jul 04 2020,Sat Jun 27 2020,Sat Jun 20 2020,Sat Jun 13 2020,Sat Jun 06 2020,Sat May 30 2020,Sat May 23 2020,Sat May 16 2020,Sat May 09 2020,Sat May 02 2020,Sat Apr 25 2020,Sat Apr 18 2020,Sat Apr 11 2020,Sat Apr 04 2020,Sat Mar 28 2020,Sat Mar 21 2020,share,tec,10% vested per round
kojak,28.41692307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0005,0.0054,0.0532,0.5266,0.2924,0.1084,0.7921,0.08,0.0081,0.0008,0.0002,0.0009,0.0088,0.087,0.8608,5.0304,0.5165,0.135,0.8334,8.1993,12.2714,1.2397,0.1252,0.0127,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001143412376,14.63224818,1.463224818
krisjpi,28.11650353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0011,0.0113,0.1114,1.1029,1.1183,0.1152,0.0338,0.2227,2.1932,0.252,0.3264,3.0116,0.3042,0.0307,0.0031,0.0003,0,0,0.0001,0.0006,0.0058,0.0569,0.5636,2.0102,3.6109,0.3648,0.037,0.0049,0.0119,0.1143,1.1314,0.1529,0.3975,0.0409,0.0118,0.077,0.7584,0.0766,0.0077,0.0008,0.0003,0.0018,0.0181,0.1788,1.77,1.6192,0.1705,0.0854,0.6833,1.3648,0.2603,1.2384,3.174,1.5972,0.5079,0.0513,0.0052,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001131324388,14.4775582,1.44775582
acidlazzer,50.9102448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.004,0.04,0.3959,3.9189,8.1767,2.3424,2.2442,7.3617,4.7468,0.5754,1.0076,0.1018,0.0103,0.001,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002048476671,26.21435596,2.621435596
daithi,27.54414862,0.0002,0.0019,0.0192,0.1902,1.8832,0.3024,1.1404,0.7966,0.0805,0.0081,0.0008,0.0001,0,0,0,0.0001,0.0012,0.012,0.1186,1.1745,1.3429,0.1711,0.3682,3.5111,1.2882,3.6357,0.3674,0.038,0.0129,0.0908,0.8953,8.8625,0.8953,0.0904,0.0091,0.0009,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0019,0.0187,0.1854,1.8355,0.1854,0.0187,0.0019,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001108294531,14.18284511,1.418284511
bends,27.48007968,4.4044,4.4974,3.8548,3.9122,3.4219,0.8868,5.4464,2.6361,0.2663,0.0269,0.0027,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001105716587,14.14985517,1.414985517
witwiki,27.75356002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0008,0.0077,0.076,0.7527,7.4505,2.3589,4.1273,13.0368,1.317,0.133,0.0134,0.0014,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001116720622,14.2906738,1.42906738
patriacaelum,26.88058835,0.0004,0.0037,0.0365,0.3615,3.5782,6.7387,0.6807,0.0688,0.0069,0.0007,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0021,0.0205,0.2029,2.0081,9.9982,1.0391,0.3931,2.8915,0.2921,0.0295,0.003,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001081594841,13.84116919,1.384116919
famole,26.1708559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0013,0.0129,0.1277,1.2646,0.1277,0.0129,0.0013,0.0001,0,0,0,0,0,0.0002,0.0025,0.0243,0.2409,0.0243,0.0025,0.0002,0,0,0.0004,0.0041,0.0411,0.4064,0.0473,0.0667,0.6201,0.1405,0.7854,0.0793,0.008,0.0008,0.0001,0,0,0,0,0,0,0,0.0001,0.0011,0.0106,0.1052,1.0418,4.574,0.4658,0.0836,0.3699,0.0408,0.0384,0.3434,1.2538,1.0538,0.3701,0.549,1.7542,0.4846,3.092,0.9189,1.1243,1.1241,0.3978,0.1282,0.8847,0.0897,0.0122,0.0324,0.3113,3.0811,0.3113,0.0314,0.0032,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001053037321,13.47571859,1.347571859
sbilbao,25.30658943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0035,0.0342,0.3387,0.0371,0.032,0.2831,2.7989,0.7372,4.5728,0.5313,0.7403,1.2114,3.3709,11.5762,1.1694,0.1181,0.0119,0.0012,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001018261811,13.0306964,1.30306964
enti,24.63017589,0,0,0,0,0,0.0001,0.0006,0.0064,0.0635,0.6281,0.075,0.1217,1.142,0.1239,0.0972,0.8481,0.0876,0.0277,0.1892,0.4063,0.0423,0.0164,0.1221,1.2044,0.1219,0.0141,0.0196,0.1818,1.798,17.798,1.798,0.1816,0.0183,0.0019,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000991044944,12.68240215,1.268240215
