name,totalCred,Sat Jul 16 2022,Sat Jul 09 2022,Sat Jul 02 2022,Sat Jun 25 2022,Sat Jun 18 2022,Sat Jun 11 2022,Sat Jun 04 2022,Sat May 28 2022,Sat May 21 2022,Sat May 14 2022,Sat May 07 2022,Sat Apr 30 2022,Sat Apr 23 2022,Sat Apr 16 2022,Sat Apr 09 2022,Sat Apr 02 2022,Sat Mar 26 2022,Sat Mar 19 2022,Sat Mar 12 2022,Sat Mar 05 2022,Sat Feb 26 2022,Sat Feb 19 2022,Sat Feb 12 2022,Sat Feb 05 2022,Sat Jan 29 2022,Sat Jan 22 2022,Sat Jan 15 2022,Sat Jan 08 2022,Sat Jan 01 2022,Sat Dec 25 2021,Sat Dec 18 2021,Sat Dec 11 2021,Sat Dec 04 2021,Sat Nov 27 2021,Sat Nov 20 2021,Sat Nov 13 2021,Sat Nov 06 2021,Sat Oct 30 2021,Sat Oct 23 2021,Sat Oct 16 2021,Sat Oct 09 2021,Sat Oct 02 2021,Sat Sep 25 2021,Sat Sep 18 2021,Sat Sep 11 2021,Sat Sep 04 2021,Sat Aug 28 2021,Sat Aug 21 2021,Sat Aug 14 2021,Sat Aug 07 2021,Sat Jul 31 2021,Sat Jul 24 2021,Sat Jul 17 2021,Sat Jul 10 2021,Sat Jul 03 2021,Sat Jun 26 2021,Sat Jun 19 2021,Sat Jun 12 2021,Sat Jun 05 2021,Sat May 29 2021,Sat May 22 2021,Sat May 15 2021,Sat May 08 2021,Sat May 01 2021,Sat Apr 24 2021,Sat Apr 17 2021,Sat Apr 10 2021,Sat Apr 03 2021,Sat Mar 27 2021,Sat Mar 20 2021,Sat Mar 13 2021,Sat Mar 06 2021,Sat Feb 27 2021,Sat Feb 20 2021,Sat Feb 13 2021,Sat Feb 06 2021,Sat Jan 30 2021,Sat Jan 23 2021,Sat Jan 16 2021,Sat Jan 09 2021,Sat Jan 02 2021,Sat Dec 26 2020,Sat Dec 19 2020,Sat Dec 12 2020,Sat Dec 05 2020,Sat Nov 28 2020,Sat Nov 21 2020,Sat Nov 14 2020,Sat Nov 07 2020,Sat Oct 31 2020,Sat Oct 24 2020,Sat Oct 17 2020,Sat Oct 10 2020,Sat Oct 03 2020,Sat Sep 26 2020,Sat Sep 19 2020,Sat Sep 12 2020,Sat Sep 05 2020,Sat Aug 29 2020,Sat Aug 22 2020,Sat Aug 15 2020,Sat Aug 08 2020,Sat Aug 01 2020,Sat Jul 25 2020,Sat Jul 18 2020,Sat Jul 11 2020,Sat Jul 04 2020,Sat Jun 27 2020,Sat Jun 20 2020,Sat Jun 13 2020,Sat Jun 06 2020,Sat May 30 2020,Sat May 23 2020,Sat May 16 2020,Sat May 09 2020,Sat May 02 2020,Sat Apr 25 2020,Sat Apr 18 2020,Sat Apr 11 2020,Sat Apr 04 2020,Sat Mar 28 2020,Sat Mar 21 2020,share,tec,10% vested per round
drllau,31.46991642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0012,0.0119,0.1173,1.1612,1.6812,4.4333,3.9678,4.4961,8.8185,2.1527,0.2175,0.022,0.0022,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001266255739,16.20427469,1.620427469
hbesso31,22.58930609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0038,0.0379,0.3749,0.0379,0.0038,0.0004,0.0001,0.0005,0.0044,0.044,0.436,4.3157,2.3714,1.2235,0.1828,0.605,5.8674,4.383,6.3042,0.6369,0.0643,0.0065,0.0007,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00090892642,11.6315314,1.16315314
knobsdao,22.32566271,0.0006,0.0058,0.0575,0.569,0.0612,0.0429,0.3683,3.6397,0.3825,0.1848,1.4658,1.7346,0.1767,0.0323,0.1466,1.4338,0.4649,0.0476,0.0108,0.06,0.5897,0.0721,0.1317,1.2447,0.1425,0.1799,1.6569,0.1674,0.0169,0.0018,0.0013,0.0116,0.1148,1.136,0.1159,0.0233,0.1174,1.151,0.1188,0.0371,0.2519,2.4824,0.2508,0.0255,0.0039,0.0135,0.1312,1.2988,1.7607,0.3969,0.0411,0.0143,0.102,1.0059,0.102,0.0141,0.0392,0.3778,0.0382,0.0039,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008983181955,11.49577795,1.149577795
mrmadila,22.15336731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0022,0.0214,0.2117,2.0956,0.2123,0.0274,0.0615,0.588,0.1191,0.0126,0.0068,0.0552,0.5451,0.0559,0.0141,0.0854,0.8403,0.0849,0.0086,0.0009,0.0001,0.0001,0.0011,0.0107,0.1063,1.0527,10.4209,1.556,5.1395,2.5693,0.2596,0.0262,0.0026,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008913855416,11.40706078,1.140706078
freshelle,21.72878805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0024,0.0236,0.2339,2.3157,0.235,0.0344,0.1092,1.0571,0.1068,0.0108,0.0011,0.0002,0.0004,0.0041,0.0407,0.4028,3.9873,14.9332,1.5086,0.1524,0.0154,0.0016,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008743017362,11.18843932,1.118843932
zhiwei,21.13197681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0013,0.0125,0.1236,1.2236,0.5329,4.1055,7.7463,6.6028,3.838,0.3877,0.0392,0.004,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008502878288,10.88113334,1.088113334
mcsmith89,21.0699517,0.0003,0.0026,0.0261,0.258,2.5541,0.258,0.0261,0.0026,0.0003,0,0,0,0,0,0,0,0.0001,0.0009,0.0086,0.0854,0.8457,8.3717,0.8457,0.0854,0.0086,0.0009,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0023,0.0228,0.2257,2.2344,5.9931,0.6054,0.0612,0.0062,0.0006,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000847792123,10.8491958,1.08491958
0xgabi,20.18451264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0011,0.011,0.1089,1.0776,1.0787,0.1186,0.1077,0.958,0.2071,1.113,1.2396,1.2576,1.2623,1.2786,1.3931,2.2124,1.4002,1.3309,1.6367,3.9382,0.3978,0.0402,0.0041,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008121646917,10.39327156,1.039327156
bradleyc,19.98036529,0.0556,0.5008,0.0506,0.0051,0.0005,0.0003,0.0025,0.0245,0.2424,0.0608,0.3659,0.0701,0.3347,0.0345,0.01,0.0655,0.6449,0.071,0.0648,0.5768,0.0583,0.0059,0.0007,0.0009,0.0083,0.0817,0.8084,0.0817,0.0083,0.0009,0.0012,0.0109,0.1083,1.0721,1.9778,0.3634,1.6566,1.0912,0.6113,2.7612,2.824,2.2959,1.3712,0.1385,0.014,0.0014,0.0001,0,0,0,0.0001,0.0007,0.0068,0.0671,0.6644,0.0671,0.0068,0.0011,0.0037,0.0364,0.3602,0.0364,0.0037,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008039504101,10.2881534,1.02881534
thefredo1000,19.2775823,0,0,0,0,0,0,0,0,0.0002,0.0024,0.024,0.2379,2.3547,12.1345,1.2258,0.1238,0.0125,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0044,0.044,0.4359,4.3146,0.4359,0.044,0.0044,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007756725149,9.926281174,0.9926281174
philh,24.04375008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0019,0.0186,0.1842,0.0272,0.0883,0.8555,0.3076,0.0851,0.5435,0.645,0.2939,0.0808,0.5138,5.0574,3.4334,1.009,1.1293,0.2023,0.894,0.3128,2.2342,1.9291,0.7559,0.0796,0.0403,0.323,0.0326,0.0033,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0009674489157,12.38044377,1.238044377
felixbbertrand,19.10070744,0,0.0001,0.0012,0.0118,0.1167,1.1554,11.4374,1.1554,0.1167,0.0118,0.0012,0.0001,0.0001,0.0011,0.0105,0.1041,1.0302,5.1313,0.5184,0.0524,0.0053,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007685555971,9.835205976,0.9835205976
monstrosity,18.76655179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0044,0.0432,0.4278,0.0432,0.0044,0.0004,0,0,0,0,0.0005,0.0048,0.0479,0.4742,0.2416,1.9416,14.089,1.4867,0.778,0.0786,0.0084,0.0052,0.0434,0.4287,0.0433,0.0044,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007551101686,9.663144828,0.9663144828
gabi,18.30396984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.0097,0.096,0.9499,0.0994,0.044,0.3409,3.3653,2.9076,0.7244,4.3361,0.438,0.0443,0.0045,0.0005,0,0,0,0,0,0.0002,0.0024,0.0234,0.2319,2.2959,0.2484,0.1879,1.6307,0.1649,0.0182,0.0169,0.1512,1.4946,0.151,0.0153,0.0015,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007364972484,9.424955287,0.9424955287
mertozdal,21.59042937,0,0,0,0,0.0005,0.0048,0.0471,0.4659,0.2166,1.7006,1.6348,0.1922,0.2875,2.6828,2.748,0.6085,0.3915,0.0397,0.0056,0.0162,0.1568,1.552,1.0396,0.6793,1.9002,2.2179,0.2241,0.0227,0.0027,0.0039,0.0362,0.3583,0.0362,0.0037,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008687345946,11.11719661,1.111719661
santteegt,17.57956357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.0096,0.0951,0.9409,0.0952,0.0116,0.0203,0.1918,1.8976,0.3039,1.1416,1.3511,2.0431,0.2064,0.0209,0.0021,0.0002,0,0,0,0,0,0,0.0002,0.0021,0.0204,0.2018,1.9972,7.6991,0.7778,0.0786,0.0079,0.0008,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007073492967,9.05194895,0.905194895
thelastjosh,17.41512159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0047,0.0467,0.4627,0.0467,0.0047,0.0005,0,0,0,0,0,0,0,0,0,0,0.0003,0.0034,0.0335,0.3317,3.2835,0.3575,0.2919,2.5611,0.7908,5.3471,0.5402,0.0546,0.0055,0.0006,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0038,0.0379,0.3754,3.7163,0.3754,0.0379,0.0038,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007007326411,8.967275608,0.8967275608
andrewpenland,17.28140302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.003,0.0297,0.2941,0.7128,0.072,0.0073,0.0007,0.0001,0,0,0,0.0001,0.0008,0.0076,0.0757,0.7494,0.3094,0.0313,0.0032,0.0011,0.0079,0.0776,0.7681,0.9487,0.0981,0.0327,0.2287,2.2545,0.3088,0.8334,0.154,0.7068,0.4643,3.9366,2.6155,0.7794,0.0787,0.008,0.001,0.0016,0.0149,0.1473,1.458,0.1473,0.0149,0.0015,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006953522041,8.898422155,0.8898422155
kzflyer,21.82175321,0,0,0,0,0,0,0,0,0,0,0.0002,0.0023,0.0224,0.2214,2.1916,7.323,0.7398,0.0747,0.0075,0.0008,0.0001,0,0.0002,0.0016,0.0154,0.1525,1.5096,0.1525,0.0154,0.0016,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0031,0.0312,0.3084,3.053,0.3084,0.0312,0.0033,0.002,0.0172,0.1696,1.6791,0.1696,0.0171,0.0017,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008780423774,11.2363083,1.12363083
carlgocht,16.76243039,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0018,0.0177,0.1751,1.7333,10.4929,1.06,0.1071,0.0108,0.0011,0.0003,0.002,0.0193,0.1914,1.8943,0.1914,0.0195,0.0038,0.0182,0.1782,1.764,0.1782,0.018,0.0018,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006744702907,8.631196311,0.8631196311
geleeroyale,14.91465741,0.0024,0.0215,0.2126,2.104,0.2135,0.0311,0.0973,0.9422,0.1089,0.1471,1.362,0.7336,0.0799,0.065,0.5697,5.632,0.5691,0.0594,0.0252,0.1925,1.9002,0.3867,1.9672,0.1987,0.0201,0.002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006001214076,7.679753653,0.7679753653
mettodo,15.76650338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0022,0.0213,0.2111,2.0893,1.5819,0.2173,0.5906,0.4675,4.0842,0.4399,0.3152,2.7123,0.4414,1.7021,0.1722,0.0195,0.0228,0.2083,2.0603,0.2081,0.021,0.0021,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000634397153,8.118380368,0.8118380368
credbot,13.81568242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0015,0.0144,0.1429,1.4143,0.1429,0.0144,0.0015,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0.0037,0.0363,0.3596,3.5598,10.5436,1.0651,0.1076,0.0109,0.0011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005559019259,7.113876946,0.7113876946
bear100,13.44254071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0006,0.0056,0.0551,0.5453,0.7351,6.8054,0.9188,2.3828,2.1648,2.2971,1.2468,0.126,0.0127,0.0013,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005408878145,6.921741363,0.6921741363
system,12.82809228,1.9176,2.2918,0.2315,0.0234,0.0024,0.0002,0,0,0,0,0,0,0,0,0,0.0003,0.0028,0.0276,0.2733,2.7058,1.8055,0.1824,0.0184,0.0019,0.0002,0,0,0.0002,0.0017,0.017,0.1686,1.6692,0.1686,0.017,0.0017,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0048,0.0472,0.4668,4.6212,0.4668,0.0472,0.0048,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005161642391,6.605353768,0.6605353768
bustavo,14.49023287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0032,0.0317,0.3134,3.1024,0.3134,0.0317,0.0032,0.0005,0.0021,0.0203,0.2011,1.9906,1.3894,0.1404,0.0144,0.0032,0.0177,0.1735,1.7174,0.1785,0.0677,0.4989,4.9209,1.6676,0.1685,0.017,0.0017,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005830438276,7.461211862,0.7461211862
phil,12.56663649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.001,0.0103,0.1019,1.0087,9.9852,5.0979,0.515,0.052,0.0053,0.0005,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005056440368,6.470726739,0.6470726739
foxdao,12.34778435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005,0.0047,0.0462,0.4573,0.0462,0.0047,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0013,0.0124,0.1232,1.2199,2.3556,0.5722,3.3662,2.4216,0.2482,0.0606,0.3582,3.5217,0.3558,0.0359,0.0036,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004968380781,6.358036885,0.6358036885
shermin,12.15516171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.002,0.0199,0.1967,0.0199,0.002,0.0002,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0008,0.0083,0.0818,0.8096,0.0829,0.0192,0.1092,1.0726,0.1393,0.3201,0.0323,0.0033,0.0003,0,0,0,0,0,0,0,0,0.0001,0.0008,0.0078,0.0772,0.7644,0.1138,0.3734,3.62,2.3583,0.2383,0.0243,0.0049,0.0244,0.2396,0.2303,0.0242,0.0115,0.091,0.8987,2.6074,0.2634,0.0266,0.0027,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004890875167,6.258852952,0.6258852952
charliex,11.53476324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0009,0.0092,0.091,0.9009,1.1083,0.1656,0.5479,2.0377,0.4277,2.2392,0.2262,0.0229,0.0027,0.0043,0.0405,0.4009,3.9683,0.4009,0.0405,0.0041,0.0005,0.0005,0.0041,0.0408,0.4043,0.5165,1.0788,0.109,0.011,0.0011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004641245294,5.939401603,0.5939401603
porobov-p,11.29391983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0031,0.0311,0.3075,3.0438,0.3075,0.0311,0.0032,0.0006,0.0024,0.0233,0.2306,2.2826,0.2306,0.0233,0.0024,0.0002,0,0,0,0.0002,0.0016,0.0153,0.1519,1.5037,0.1519,0.0154,0.0018,0.0023,0.0214,0.2121,2.0992,1.3526,2.0494,0.207,0.0209,0.0021,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004544337076,5.815388156,0.5815388156
evo,10.88077045,0,0.0001,0.001,0.0096,0.0951,0.9409,0.0951,0.0096,0.001,0.0001,0,0,0,0,0,0,0.0001,0.0011,0.0107,0.1056,1.0456,10.35,1.0456,0.1056,0.0107,0.0011,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004378098068,5.602652097,0.5602652097
paul2,10.46583828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0.0007,0.0074,0.0735,0.7272,1.2563,1.1963,0.1208,0.0122,0.0012,0.0001,0,0,0,0.0001,0.0009,0.0088,0.0867,0.8583,2.122,1.6452,1.6452,2.122,0.8583,0.0867,0.0088,0.0009,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004211141715,5.388998052,0.5388998052
lkngtn,10.40501019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0.0026,0.0258,0.2553,2.527,0.2553,0.0258,0.0026,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0.0022,0.0221,0.2191,2.1692,0.2191,0.0221,0.0022,0.0002,0,0,0,0,0,0.0004,0.004,0.0392,0.3877,3.8382,0.3877,0.0392,0.004,0.0004,0,0,0,0.0002,0.0018,0.0181,0.1789,1.7708,0.1789,0.0181,0.0018,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004186666302,5.357676866,0.5357676866
